classification,value,Coin,Execution Price,Size Tokens,Size USD,Side,Start Position,Direction,Closed PnL,Crossed,Fee,Timestamp,time,Win,day,month,year
Fear,34.0,HYPE,13.15,36.48,479.71,BUY,5549.17,Open Long,0.0,False,0.047971,1740000000000.0,14:49:00,0,12,3,2025
Neutral,49.0,HYPE,21.909,0.95,20.81,SELL,13149.49,Close Long,-0.015295,True,0.007284,1740000000000.0,18:45:00,0,24,2,2025
Extreme Greed,83.0,ETH,3647.1,0.8216,2996.46,BUY,0.8319,Open Long,0.0,True,1.04876,1710000000000.0,16:37:00,0,15,3,2024
Fear,44.0,@107,22.224,298.48,6633.42,BUY,2272.190816,Buy,0.0,True,0.10446796,1740000000000.0,09:47:00,0,3,2,2025
Greed,64.0,BTC,43098.0,0.00026,11.21,SELL,-3.27036,Open Short,0.0,True,0.002801,1710000000000.0,20:55:00,0,6,2,2024
Fear,37.0,HYPE,17.994,41.06,738.83,SELL,-25024.63,Open Short,0.0,True,0.212784,1750000000000.0,02:00:00,0,20,4,2025
Fear,34.0,HYPE,11.53,17.33,199.81,BUY,8695.28,Open Long,0.0,True,0.059944,1740000000000.0,14:33:00,0,6,4,2025
Fear,44.0,ETH,2725.0,0.193,525.93,SELL,-533.7807,Open Short,0.0,False,0.026296,1740000000000.0,22:21:00,0,3,2,2025
Neutral,50.0,HYPE,26.145,1.33,34.77,BUY,-467.25,Close Short,1.180375,True,0.01217,1740000000000.0,05:13:00,1,15,2,2025
Extreme Greed,87.0,@107,28.74,10.44,300.05,SELL,37592.6975,Sell,66.684633,False,0.015002,1730000000000.0,11:28:00,1,17,12,2024
Greed,63.0,PENDLE,3.285,71.0,233.24,BUY,14677.0,Open Long,0.0,False,0.023323,1750000000000.0,00:50:00,0,24,4,2025
Fear,33.0,HYPE,17.184,45.81,787.2,SELL,-800.0,Open Short,0.0,True,0.275519,1740000000000.0,04:50:00,0,18,4,2025
Neutral,47.0,ZEREBRO,0.027818,27400.0,762.21,SELL,-176763.0,Open Short,0.0,True,0.266774,1750000000000.0,13:33:00,0,22,4,2025
Fear,25.0,SOL,148.3,17.37,2575.97,BUY,-3028.69,Close Short,5.563611,False,0.123646,1740000000000.0,08:58:00,1,6,3,2025
Fear,25.0,HYPE,19.351,2.0,38.7,BUY,243063.23,Open Long,0.0,False,0.001857,1740000000000.0,07:24:00,0,25,2,2025
Extreme Fear,23.0,SOL,105.46,5.0,527.3,BUY,16004.2,Open Long,0.0,False,0.026365,1740000000000.0,04:33:00,0,7,4,2025
Greed,71.0,ETH,3238.9,0.3,971.67,SELL,7.9924,Close Long,22.626,True,0.340084,1710000000000.0,20:37:00,1,23,4,2024
Greed,70.0,@107,27.266,65.33,1781.29,BUY,3818.606082,Buy,0.0,True,0.02195085,1730000000000.0,06:03:00,0,23,12,2024
Extreme Greed,80.0,@107,23.971,14.6,349.98,BUY,96021.481,Buy,0.0,True,0.00510996,1730000000000.0,10:38:00,0,15,12,2024
Extreme Greed,94.0,kPEPE,0.020297,72330.0,1468.08,SELL,147614.0,Close Long,-6.58203,True,0.513828,1730000000000.0,19:03:00,0,22,11,2024
Extreme Greed,76.0,@107,20.994,4.99,104.76,BUY,760.4215558,Buy,0.0,True,0.00174649,1740000000000.0,19:25:00,0,20,1,2025
Greed,65.0,HYPE,27.288,140.72,3839.97,SELL,-38679.01,Open Short,0.0,False,0.368636,1740000000000.0,00:10:00,0,30,12,2024
Fear,30.0,HYPE,15.652,31.95,500.08,BUY,2970.89,Open Long,0.0,True,0.150024,1740000000000.0,21:36:00,0,23,3,2025
Extreme Greed,76.0,NTRN,1.4172,289.0,409.57,SELL,7092.0,Close Long,4.882077,True,0.102392,1700000000000.0,02:02:00,1,9,1,2024
Greed,65.0,ONDO,0.8801,712.0,626.63,BUY,-22311.0,Close Short,18.0848,False,0.060156,1710000000000.0,04:45:00,1,16,4,2024
Neutral,47.0,HYPE,26.691,5.93,158.28,BUY,-172.93,Close Short,1.32239,True,0.055397,1740000000000.0,11:56:00,1,18,2,2025
Neutral,50.0,BTC,98126.0,0.006,588.76,BUY,0.13268,Open Long,0.0,False,0.029437,1740000000000.0,04:08:00,0,13,2,2025
Greed,61.0,ZEREBRO,0.22968,675.0,155.03,SELL,34508.0,Close Long,6.29775,False,0.014882,1740000000000.0,20:04:00,1,13,1,2025
Greed,60.0,BIO,0.070131,713.0,50.0,SELL,190496.0,Close Long,2.681593,True,0.017501,1750000000000.0,08:21:00,1,25,4,2025
Extreme Greed,75.0,ANIME,0.12882,841.0,108.34,SELL,-52071.0,Open Short,0.0,True,0.037918,1740000000000.0,18:38:00,0,23,1,2025
Fear,44.0,HYPE,13.595,12.45,169.26,SELL,117733.29,Close Long,11.163915,True,0.05924,1740000000000.0,18:22:00,1,2,4,2025
Neutral,47.0,kPEPE,0.008102,177613.0,1439.02,SELL,-2620934.0,Open Short,0.0,True,0.503657,1750000000000.0,13:33:00,0,22,4,2025
Neutral,48.0,HYPE,28.024,11.6,325.08,SELL,-10.5,Open Short,0.0,False,0.016253,1740000000000.0,23:18:00,0,14,2,2025
Extreme Greed,81.0,@107,24.502,9.13,223.7,BUY,38628.79003,Buy,0.0,True,0.00273896,1730000000000.0,10:15:00,0,18,12,2024
Neutral,47.0,ZEREBRO,0.02805,11818.0,331.49,BUY,-645475.0,Close Short,14.29978,False,0.031823,1750000000000.0,09:43:00,1,22,4,2025
Neutral,53.0,SOL,148.14,96.12,14239.22,SELL,37937.67,Close Long,98.407656,True,3.275019,1750000000000.0,05:55:00,1,1,5,2025
